JJ vs K8o | 0.637500 0.362500
JJ vs K7s | 0.682500 0.317500
JJ vs K7o | 0.632500 0.367500
JJ vs K6s | 0.660000 0.340000
JJ vs K6o | 0.665000 0.335000
JJ vs QJs | 0.485000 0.515000
JJ vs QJo | 0.507500 0.492500
JJ vs QTs | 0.675000 0.325000
JJ vs QTo | 0.637500 0.362500
JJ vs Q9s | 0.640000 0.360000
JJ vs Q9o | 0.645000 0.355000
JJ vs Q8s | 0.610000 0.390000
JJ vs Q8o | 0.622500 0.377500
JJ vs Q7s | 0.625000 0.375000
JJ vs Q7o | 0.745000 0.255000
JJ vs Q6s | 0.642500 0.357500
JJ vs Q6o | 0.695000 0.305000
JJ vs JTs | 0.695000 0.305000
JJ vs JTo | 0.760000 0.240000
JJ vs J9s | 0.705000 0.295000
JJ vs J9o | 0.765000 0.235000
JJ vs J8s | 0.780000 0.220000
JJ vs J8o | 0.785000 0.215000
JJ vs J7s | 0.795000 0.205000
JJ vs J7o | 0.817500 0.182500
JJ vs J6s | 0.777500 0.222500
JJ vs J6o | 0.872500 0.127500
JJ vs T9s | 0.740000 0.260000
JJ vs T9o | 0.880000 0.120000
JJ vs T8s | 0.782500 0.217500
JJ vs T8o | 0.802500 0.197500
JJ vs T7s | 0.825000 0.175000
JJ vs T7o | 0.830000 0.170000
JJ vs T6s | 0.752500 0.247500
JJ vs T6o | 0.760000 0.240000
JJ vs 98s | 0.732500 0.267500
JJ vs 98o | 0.710000 0.290000
JJ vs 97s | 0.775000 0.225000
JJ vs 97o | 0.695000 0.305000
JJ vs 96s | 0.755000 0.245000
JJ vs 96o | 0.732500 0.267500
JJ vs 87s | 0.705000 0.295000
JJ vs 87o | 0.717500 0.282500
JJ vs 86s | 0.727500 0.272500
JJ vs 86o | 0.732500 0.267500
JJ vs 76s | 0.770000 0.230000
JJ vs 76o | 0.777500 0.222500
TT vs AA | 0.285000 0.715000
TT vs KK | 0.202500 0.797500
TT vs QQ | 0.297500 0.702500
TT vs JJ | 0.300000 0.700000
TT vs TT | 0.495000 0.505000
TT vs 99 | 0.700000 0.300000
TT vs 88 | 0.725000 0.275000
TT vs 77 | 0.767500 0.232500
TT vs 66 | 0.787500 0.212500
TT vs AKs | 0.505000 0.495000
TT vs AKo | 0.497500 0.502500
TT vs AQs | 0.575000 0.425000
TT vs AQo | 0.555000 0.445000
TT vs AJs | 0.460000 0.540000
TT vs AJo | 0.547500 0.452500
TT vs ATs | 0.475000 0.525000
TT vs ATo | 0.532500 0.467500
TT vs A9s | 0.645000 0.355000
TT vs A9o | 0.665000 0.335000
TT vs A8s | 0.640000 0.360000
TT vs A8o | 0.610000 0.390000
TT vs A7s | 0.680000 0.320000
TT vs A7o | 0.652500 0.347500
TT vs A6s | 0.627500 0.372500
TT vs A6o | 0.652500 0.347500
TT vs KQs | 0.515000 0.485000
TT vs KQo | 0.535000 0.465000
TT vs KJs | 0.485000 0.515000
TT vs KJo | 0.562500 0.437500
TT vs KTs | 0.522500 0.477500
TT vs KTo | 0.557500 0.442500
TT vs K9s | 0.612500 0.387500
TT vs K9o | 0.592500 0.407500
TT vs K8s | 0.637500 0.362500
TT vs K8o | 0.735000 0.265000
TT vs K7s | 0.662500 0.337500
TT vs K7o | 0.675000 0.325000
TT vs K6s | 0.577500 0.422500
TT vs K6o | 0.632500 0.367500
TT vs QJs | 0.477500 0.522500
TT vs QJo | 0.530000 0.470000
TT vs QTs | 0.445000 0.555000
TT vs QTo | 0.417500 0.582500
TT vs Q9s | 0.590000 0.410000
TT vs Q9o | 0.665000 0.335000
TT vs Q8s | 0.642500 0.357500
TT vs Q8o | 0.647500 0.352500
TT vs Q7s | 0.645000 0.355000
TT vs Q7o | 0.662500 0.337500
TT vs Q6s | 0.652500 0.347500
TT vs Q6o | 0.627500 0.372500
TT vs JTs | 0.442500 0.557500
TT vs JTo | 0.520000 0.480000
TT vs J9s | 0.647500 0.352500
TT vs J9o | 0.627500 0.372500
TT vs J8s | 0.607500 0.392500
TT vs J8o | 0.670000 0.330000
TT vs J7s | 0.685000 0.315000
TT vs J7o | 0.652500 0.347500
TT vs J6s | 0.615000 0.385000
TT vs J6o | 0.712500 0.287500
TT vs T9s | 0.645000 0.355000
TT vs T9o | 0.745000 0.255000
TT vs T8s | 0.725000 0.275000
TT vs T8o | 0.767500 0.232500
TT vs T7s | 0.765000 0.235000
TT vs T7o | 0.802500 0.197500
TT vs T6s | 0.712500 0.287500
TT vs T6o | 0.792500 0.207500
TT vs 98s | 0.762500 0.237500
TT vs 98o | 0.760000 0.240000
TT vs 97s | 0.767500 0.232500
TT vs 97o | 0.790000 0.210000
TT vs 96s | 0.780000 0.220000
TT vs 96o | 0.797500 0.202500
TT vs 87s | 0.777500 0.222500
TT vs 87o | 0.817500 0.182500
TT vs 86s | 0.727500 0.272500
