AKo vs KTo | 100.00% 0.00%
AKo vs K9s | 70.00% 30.00%
AKo vs K9o | 50.00% 50.00%
AKo vs K8s | 60.00% 40.00%
AKo vs K8o | 80.00% 20.00%
AKo vs K7s | 70.00% 30.00%
AKo vs K7o | 100.00% 0.00%
AKo vs K6s | 80.00% 20.00%
AKo vs K6o | 60.00% 40.00%
AKo vs K5s | 50.00% 50.00%
AKo vs K5o | 30.00% 70.00%
AKo vs K4s | 80.00% 20.00%
AKo vs K4o | 70.00% 30.00%
AKo vs K3s | 90.00% 10.00%
AKo vs K3o | 50.00% 50.00%
AKo vs K2s | 70.00% 30.00%
AKo vs K2o | 80.00% 20.00%
AKo vs QQ | 10.00% 90.00%
AKo vs QJs | 40.00% 60.00%
AKo vs QJo | 50.00% 50.00%
AKo vs QTs | 70.00% 30.00%
AKo vs QTo | 75.00% 25.00%
AKo vs Q9s | 65.00% 35.00%
AKo vs Q9o | 60.00% 40.00%
AKo vs Q8s | 70.00% 30.00%
AKo vs Q8o | 80.00% 20.00%
AKo vs Q7s | 70.00% 30.00%
AKo vs Q7o | 70.00% 30.00%
AKo vs Q6s | 70.00% 30.00%
AKo vs Q6o | 70.00% 30.00%
AKo vs Q5s | 90.00% 10.00%
AKo vs Q5o | 55.00% 45.00%
AKo vs Q4s | 80.00% 20.00%
AKo vs Q4o | 60.00% 40.00%
AKo vs Q3s | 70.00% 30.00%
AKo vs Q3o | 50.00% 50.00%
AKo vs Q2s | 50.00% 50.00%
AKo vs Q2o | 70.00% 30.00%
AKo vs JJ | 40.00% 60.00%
AKo vs JTs | 40.00% 60.00%
AKo vs JTo | 80.00% 20.00%
AKo vs J9s | 30.00% 70.00%
AKo vs J9o | 80.00% 20.00%
AKo vs J8s | 60.00% 40.00%
AKo vs J8o | 60.00% 40.00%
AKo vs J7s | 50.00% 50.00%
AKo vs J7o | 70.00% 30.00%
AKo vs J6s | 60.00% 40.00%
AKo vs J6o | 85.00% 15.00%
AKo vs J5s | 30.00% 70.00%
AKo vs J5o | 70.00% 30.00%
AKo vs J4s | 70.00% 30.00%
AKo vs J4o | 60.00% 40.00%
AKo vs J3s | 70.00% 30.00%
AKo vs J3o | 70.00% 30.00%
AKo vs J2s | 80.00% 20.00%
AKo vs J2o | 70.00% 30.00%
AKo vs TT | 60.00% 40.00%
AKo vs T9s | 40.00% 60.00%
AKo vs T9o | 70.00% 30.00%
AKo vs T8s | 60.00% 40.00%
AKo vs T8o | 50.00% 50.00%
AKo vs T7s | 90.00% 10.00%
AKo vs T7o | 70.00% 30.00%
AKo vs T6s | 70.00% 30.00%
AKo vs T6o | 60.00% 40.00%
AKo vs T5s | 60.00% 40.00%
AKo vs T5o | 50.00% 50.00%
AKo vs T4s | 60.00% 40.00%
AKo vs T4o | 70.00% 30.00%
AKo vs T3s | 70.00% 30.00%
AKo vs T3o | 10.00% 90.00%
AKo vs T2s | 55.00% 45.00%
AKo vs T2o | 50.00% 50.00%
AKo vs 99 | 40.00% 60.00%
AKo vs 98s | 80.00% 20.00%
AKo vs 98o | 65.00% 35.00%
AKo vs 97s | 30.00% 70.00%
AKo vs 97o | 70.00% 30.00%
AKo vs 96s | 50.00% 50.00%
AKo vs 96o | 50.00% 50.00%
AKo vs 95s | 40.00% 60.00%
AKo vs 95o | 50.00% 50.00%
AKo vs 94s | 90.00% 10.00%
AKo vs 94o | 80.00% 20.00%
AKo vs 93s | 50.00% 50.00%
AKo vs 93o | 40.00% 60.00%
AKo vs 92s | 30.00% 70.00%
AKo vs 92o | 80.00% 20.00%
AKo vs 88 | 40.00% 60.00%
AKo vs 87s | 80.00% 20.00%
AKo vs 87o | 60.00% 40.00%
AKo vs 86s | 30.00% 70.00%
AKo vs 86o | 40.00% 60.00%
AKo vs 85s | 60.00% 40.00%
AKo vs 85o | 70.00% 30.00%
AKo vs 84s | 50.00% 50.00%
AKo vs 84o | 70.00% 30.00%
AKo vs 83s | 50.00% 50.00%
AKo vs 83o | 80.00% 20.00%
AKo vs 82s | 70.00% 30.00%
AKo vs 82o | 70.00% 30.00%
AKo vs 77 | 50.00% 50.00%
AKo vs 76s | 60.00% 40.00%
AKo vs 76o | 70.00% 30.00%
AKo vs 75s | 60.00% 40.00%
AKo vs 75o | 40.00% 60.00%
AKo vs 74s | 50.00% 50.00%
AKo vs 74o | 90.00% 10.00%
AKo vs 73s | 70.00% 30.00%
AKo vs 73o | 70.00% 30.00%
AKo vs 72s | 60.00% 40.00%
AKo vs 72o | 50.00% 50.00%
AKo vs 66 | 70.00% 30.00%
